date,cases,country,size
02-05-2020,1965,Italy,10
02-05-2020,263,Japan,10
02-05-2020,7933,Russia,10
02-05-2020,33955,United States of America,10
03-05-2020,2,China,10
03-05-2020,2644,India,10
03-05-2020,1900,Italy,10
03-05-2020,295,Japan,10
03-05-2020,9623,Russia,10
03-05-2020,29288,United States of America,10
04-05-2020,3,China,10
04-05-2020,2553,India,10
04-05-2020,1389,Italy,10
04-05-2020,218,Japan,10
04-05-2020,10633,Russia,10
04-05-2020,24972,United States of America,10
05-05-2020,2,China,10
05-05-2020,3900,India,10
05-05-2020,1221,Italy,10
05-05-2020,174,Japan,10
05-05-2020,10581,Russia,10
05-05-2020,22593,United States of America,10
06-05-2020,2,China,10
06-05-2020,2958,India,10
06-05-2020,1075,Italy,10
06-05-2020,123,Japan,10
06-05-2020,10102,Russia,10
06-05-2020,23841,United States of America,10
07-05-2020,2,China,10
07-05-2020,3561,India,10
07-05-2020,1444,Italy,10
07-05-2020,109,Japan,10
07-05-2020,10559,Russia,10
07-05-2020,24128,United States of America,10
08-05-2020,6,China,10
08-05-2020,3390,India,10
08-05-2020,1401,Italy,10
08-05-2020,84,Japan,10
08-05-2020,11231,Russia,10
08-05-2020,28369,United States of America,10
09-05-2020,0,China,10
09-05-2020,3320,India,10
09-05-2020,1327,Italy,10
09-05-2020,81,Japan,10
09-05-2020,10699,Russia,10
09-05-2020,26957,United States of America,10
10-05-2020,15,China,10
10-05-2020,3277,India,10
10-05-2020,1083,Italy,10
10-05-2020,119,Japan,10
10-05-2020,10817,Russia,10
10-05-2020,25612,United States of America,10
11-05-2020,19,China,10
11-05-2020,4213,India,10
11-05-2020,802,Italy,10
11-05-2020,51,Japan,10
11-05-2020,11012,Russia,10
11-05-2020,20258,United States of America,10
12-05-2020,1,China,10
12-05-2020,3604,India,10
12-05-2020,744,Italy,10
12-05-2020,76,Japan,10
12-05-2020,11656,Russia,10
12-05-2020,18117,United States of America,10
13-05-2020,7,China,10
13-05-2020,3525,India,10
13-05-2020,1402,Italy,10
13-05-2020,150,Japan,10
13-05-2020,10899,Russia,10
13-05-2020,22048,United States of America,10
14-05-2020,6,China,10
14-05-2020,3722,India,10
14-05-2020,888,Italy,10
14-05-2020,55,Japan,10
14-05-2020,10028,Russia,10
14-05-2020,20782,United States of America,10
15-05-2020,5,China,10
15-05-2020,3967,India,10
15-05-2020,992,Italy,10
15-05-2020,114,Japan,10
15-05-2020,9974,Russia,10
15-05-2020,27143,United States of America,10
16-05-2020,9,China,10
16-05-2020,3970,India,10
16-05-2020,789,Italy,10
16-05-2020,44,Japan,10
16-05-2020,10598,Russia,10
16-05-2020,25508,United States of America,10
17-05-2020,6,China,10
17-05-2020,4987,India,10
17-05-2020,875,Italy,10
17-05-2020,48,Japan,10
17-05-2020,9200,Russia,10
17-05-2020,24487,United States of America,10
18-05-2020,10,China,10
18-05-2020,5242,India,10
18-05-2020,675,Italy,10
18-05-2020,20,Japan,10
18-05-2020,9709,Russia,10
18-05-2020,18873,United States of America,10
19-05-2020,9,China,10
19-05-2020,4970,India,10
19-05-2020,451,Italy,10
19-05-2020,60,Japan,10
19-05-2020,8926,Russia,10
19-05-2020,21841,United States of America,10
20-05-2020,2,China,10
20-05-2020,5611,India,10
20-05-2020,813,Italy,10
20-05-2020,20,Japan,10
20-05-2020,9263,Russia,10
20-05-2020,19970,United States of America,10
21-05-2020,2,China,10
21-05-2020,5609,India,10
21-05-2020,665,Italy,10
21-05-2020,39,Japan,10
21-05-2020,8764,Russia,10
21-05-2020,23285,United States of America,10
22-05-2020,12,China,10
22-05-2020,6088,India,10
22-05-2020,642,Italy,10
22-05-2020,89,Japan,10
22-05-2020,8849,Russia,10
22-05-2020,25434,United States of America,10
23-05-2020,2,China,10
23-05-2020,6654,India,10
23-05-2020,652,Italy,10
23-05-2020,23,Japan,10
23-05-2020,8894,Russia,10
23-05-2020,24147,United States of America,10
24-05-2020,3,China,10
24-05-2020,6767,India,10
24-05-2020,669,Italy,10
24-05-2020,14,Japan,10
24-05-2020,9434,Russia,10
24-05-2020,21236,United States of America,10
25-05-2020,11,China,10
25-05-2020,6977,India,10
25-05-2020,531,Italy,10
25-05-2020,31,Japan,10
25-05-2020,8599,Russia,10
25-05-2020,20568,United States of America,10
26-05-2020,7,China,10
26-05-2020,6535,India,10
26-05-2020,300,Italy,10
26-05-2020,42,Japan,10
26-05-2020,8946,Russia,10
26-05-2020,19064,United States of America,10
27-05-2020,1,China,10
27-05-2020,6387,India,10
27-05-2020,397,Italy,10
27-05-2020,28,Japan,10
27-05-2020,8915,Russia,10
27-05-2020,18910,United States of America,10
28-05-2020,3,China,10
28-05-2020,6566,India,10
28-05-2020,584,Italy,10
28-05-2020,0,Japan,10
28-05-2020,8338,Russia,10
28-05-2020,18721,United States of America,10
29-05-2020,0,China,10
29-05-2020,7466,India,10
29-05-2020,593,Italy,10
29-05-2020,68,Japan,10
29-05-2020,8371,Russia,10
29-05-2020,21817,United States of America,10
30-05-2020,17,China,10
30-05-2020,7964,India,10
30-05-2020,516,Italy,10
30-05-2020,85,Japan,10
30-05-2020,8572,Russia,10
30-05-2020,25337,United States of America,10
31-05-2020,5,China,10
31-05-2020,8380,India,10
31-05-2020,416,Italy,10
31-05-2020,47,Japan,10
31-05-2020,8952,Russia,10
31-05-2020,23297,United States of America,10
01-06-2020,19,China,10
01-06-2020,8392,India,10
01-06-2020,355,Italy,10
01-06-2020,33,Japan,10
01-06-2020,9268,Russia,10
01-06-2020,19807,United States of America,10
02-06-2020,7,China,10
02-06-2020,8171,India,10
02-06-2020,178,Italy,10
02-06-2020,46,Japan,10
02-06-2020,9035,Russia,10
02-06-2020,21086,United States of America,10
03-06-2020,5,China,10
03-06-2020,8909,India,10
03-06-2020,318,Italy,10
03-06-2020,56,Japan,10
03-06-2020,8863,Russia,10
03-06-2020,20544,United States of America,10
04-06-2020,1,China,10
04-06-2020,9304,India,10
04-06-2020,321,Italy,10
04-06-2020,32,Japan,10
04-06-2020,8536,Russia,10
04-06-2020,19699,United States of America,10
05-06-2020,11,China,10
05-06-2020,9851,India,10
